Bedroom AbvGr,Bsmt Qual_Fa,Bsmt Qual_Gd,Bsmt Qual_None,Bsmt Qual_Po,Bsmt Qual_TA,BsmtExposureEnc,BsmtFin Type 1_BLQ,BsmtFin Type 1_GLQ,BsmtFin Type 1_LwQ,BsmtFin Type 1_None,BsmtFin Type 1_Rec,BsmtFin Type 1_Unf,Central Air_Y,Exter Qual_Fa,Exter Qual_Gd,Exter Qual_TA,Exterior1stEnc,Exterior2Enc,Fireplace Qu_Fa,Fireplace Qu_Gd,Fireplace Qu_None,Fireplace Qu_Po,Fireplace Qu_TA,Fireplaces,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Area,Garage Finish_None,Garage Finish_RFn,Garage Finish_Unf,Garage Yr Blt,GarageQualEnc,GarageTypeEnc,Gr Liv Area,Heating QC_Fa,Heating QC_Gd,Heating QC_Po,Heating QC_TA,Id,Kitchen AbvGr,Kitchen Qual_Fa,Kitchen Qual_Gd,Kitchen Qual_Po,Kitchen Qual_TA,Lot Area,Lot Frontage,Lot Shape_IR2,Lot Shape_IR3,Lot Shape_Reg,Low Qual Fin SF,MS SubClass,MSzoningEnc,Mas Vnr Area,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Overall Qual,PID,PavedDriveEnc,SalePrice,SaleTypeEnc,TotRms AbvGrd,Total Bsmt SF,TotalBath,TotalPorch,TotalSF,Year Built,Year Remod/Add
3,0,0,0,0,1,1.0,0,1,0,0,0,0,1,0,1,0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,475.0,0,1,0,1976.0,1.0,1.0,1479,0,0,0,0,109,1,0,1,0,0,13517,70.0,0,0,0,0,60,1.0,289.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,533352170,1.0,11.779128505744886,1.0,6,725.0,2.5,44,2204.0,1976,2005
4,0,1,0,0,0,1.0,0,1,0,0,0,0,1,0,1,0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,559.0,0,1,0,1997.0,1.0,1.0,2122,0,0,0,0,544,1,0,1,0,0,11492,43.0,0,0,0,0,60,1.0,132.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,531379050,1.0,12.301382825334498,1.0,8,913.0,3.5,74,3035.0,1996,1997
3,0,0,0,0,1,1.0,0,1,0,0,0,0,1,0,0,1,1.0,1.0,0,0,1,0,0,0,1,0,0,0,0,246.0,0,0,1,1953.0,1.0,0.0,1057,0,0,0,1,153,1,0,1,0,0,7922,68.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,535304180,1.0,11.59910316121128,1.0,5,1057.0,2.0,52,2114.0,1953,2007
3,0,1,0,0,0,1.0,0,0,0,0,0,1,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,400.0,0,0,0,2007.0,1.0,0.0,1444,0,1,0,0,318,1,0,0,0,1,9802,73.0,0,0,1,0,60,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,916386060,1.0,12.066810578196666,1.0,7,384.0,2.5,100,1828.0,2006,2007
3,1,0,0,0,0,1.0,0,0,0,0,0,1,1,0,0,1,0.0,0.0,0,0,1,0,0,0,0,1,0,0,0,484.0,0,0,1,1957.0,1.0,0.0,1445,0,0,0,1,255,1,0,0,0,1,14235,82.0,0,0,0,0,50,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,906425045,0.0,11.83862560460953,1.0,6,676.0,2.0,59,2121.0,1900,1993
2,0,0,0,0,1,1.0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0,1,0,0,0,1,1,0,0,0,0,578.0,0,0,0,1966.0,1.0,1.0,1888,0,0,0,0,138,1,0,1,0,0,16492,137.0,0,0,0,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,535126040,1.0,12.154779351142624,1.0,6,1517.0,2.5,0,3405.0,1966,2002
2,0,1,0,0,0,0.0,0,1,0,0,0,0,1,0,0,1,1.0,1.0,0,0,1,0,0,0,0,1,0,0,0,525.0,0,0,0,2005.0,1.0,0.0,1072,0,1,0,0,2827,1,0,0,0,1,3675,35.0,0,0,1,0,180,0.0,82.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,908186070,1.0,11.84939770159144,0.0,5,547.0,3.0,44,1619.0,2005,2006
3,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,531.0,0,1,0,1959.0,1.0,1.0,1188,1,0,0,0,145,1,0,0,0,1,12160,72.0,0,0,0,0,20,1.0,180.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,535154050,1.0,11.863582336583399,0.0,6,1188.0,2.0,0,2376.0,1959,1959
2,0,0,0,0,1,1.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,420.0,0,0,1,1952.0,1.0,0.0,924,0,0,0,1,1942,1,0,0,0,1,15783,60.0,0,0,1,0,20,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,535353130,1.0,11.630708500626612,1.0,6,924.0,1.0,324,1848.0,1952,1952
5,0,1,0,0,0,0.0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0,0,0,0,1,2,0,1,0,0,0,504.0,0,0,1,1969.0,1.0,1.0,2080,0,0,0,1,1956,1,1,0,0,0,11606,70.0,0,0,0,0,60,1.0,192.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,535426130,1.0,11.813030057420567,1.0,9,1040.0,2.5,335,3120.0,1969,1969
